Title,Address,Price,Bedrooms,Building Area (m²),Land Area (m²),rejection_reason
rumah mewah ready stock new alicante tanpa dp," gading serpong, tangerang","rp 5,81m",54.0,188m²,250m²,Impossible bedroom density; 
"dijual rumah shm 1 lantai di sektor 7a, gading serpong, tangerang"," gading serpong, tangerang","rp 1,95m",3.0,1m²,162m²,Impossible bedroom density; Unrealistically high price for building area; 
"rumah siap huni + garasi dan lokasi strategis di cikupa, tangerang"," cikupa, tangerang",rp 650jt,3.0,1m²,90m²,Impossible bedroom density; Unrealistically high price for building area; 
beli rumah dapat motor tanpa di undi promo 2.5 juta ," cikupa, tangerang",rp 185jt,2.0,185000000.0m²,60m²,Impossible building-to-land ratio; 
dijual rumah di tangerang suvarna sutera  cluster elysia," cikupa, tangerang","rp 2,85m",4.0,2165m²,180m²,Impossible building-to-land ratio; 
dijual dan sewa pabrik hadap utara lokasi dikws bonen  cikupa - tanger," cikupa, tangerang","rp 1,60m",3.0,3000m²,4500m²,Unrealistically low price for land area; 
dijual rumah kost 2 lantai di cluster citra raya tangerang," cikupa, tangerang","rp 2,30m",13.0,108m²,90m²,Impossible bedroom density; 
rumah 2 lantai citra raya cluster aurora dekat sekolah citra berkat," cikupa, tangerang","rp 1,30m",32.0,93m²,105m²,Impossible bedroom density; 
dijual rumah suvarna sutera 8x20 cluster daru. siap huni   termurah  ,"jalan suvarna sutera boulevard, tangerang kabupaten, indonesia cikupa, tangerang","rp 1,75m",43.0,115m²,160m²,Impossible bedroom density; 
dijual rumah uk 6x11mtr siap huni di green village boulevard cipondoh," cipondoh, tangerang","rp 1,33m",3.0,816m²,66m²,Impossible building-to-land ratio; 
poris indah rumah baru lt 60m 2 lantai full,"perumahan poris indah  cipondoh, tangerang","rp 1,25m",3.0,2m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
"turun harga rumah di green lake city luas 10x18 2,5 lantai shm"," cipondoh, tangerang","rp 5,30m",4.0,2m²,180m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah di cluster viola. banjar wijaya,"banjar wijaya, cipete kel., pinang, tangerang kota, 15142, indonesia cipondoh, tangerang",rp 2m,4.0,2m²,126m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah hoek baru taman royal 1 lt baru ceper dekat poris lt 271 m2  neg,"taman royal cipondoh, tangerang","rp 2,85m",5.0,160m²,100000000m²,Unrealistically low price for land area; 
rumah hoek 2 lt di banjar wijaya lt 128 m2 lb 140 m2 ada 4+1 kt 4 km ,"banjar wijaya cipondoh, tangerang","rp 2,50m",5.0,128m²,100000000m²,Unrealistically low price for land area; 
"rumah 2 lt di banjar wijaya 6,3 x 18m2 lt 120 m2 ada 4 kt 3 km shm ","banjar wijaya cipondoh, tangerang",rp 2m,4.0,120m²,10000000m²,Unrealistically low price for land area; 
di jual rumah strategis,"green lake city, cipondoh, tangerang kota, indonesia cipondoh, tangerang","rp 2,70m",4.0,96.0m²,1m²,Impossible building-to-land ratio; 
dijual rumah dg vieuw golf," cipondoh, tangerang","rp 4,20m",4.0,25m²,220m²,Impossible bedroom density; Unrealistically high price for building area; 
cluster leonora summarecon serpong sisa 2 unit siapa cepat dia dapat," karawaci, tangerang","rp 2,45m",33.0,125m²,72m²,Impossible bedroom density; 
"rumah joglo jawa, ori kuno antik unik komplit gebyok tumpangsari teras"," karawaci, tangerang","rp 394,70jt",1.0,100m²,1m²,Impossible building-to-land ratio; 
rumah murah perumnas 2 karawaci kota tangerang," karawaci, tangerang",rp 589jt,43.0,100m²,72m²,Impossible bedroom density; 
dijual murah rumah 4 kamar baru renovasi di harkit karawaci tangerang ,"perumahan harapan  kita karawaci, tangerang",rp 820jt,4.0,1m²,112m²,Impossible bedroom density; Unrealistically high price for building area; 
jual rumah cendana spring lippo karawaci," karawaci, tangerang","rp 1,25m",2.0,5m²,65m²,Impossible bedroom density; Unrealistically high price for building area; 
perumahan palem semi,"perumahan palem semi karawaci, tangerang","rp 1,50m",32.0,120m²,150m²,Impossible bedroom density; 
rumah cantik mewah di karawaci taman himalaya tanah besar,"taman himalaya karawaci karawaci, tangerang","rp 3,90m",34.0,230m²,300m²,Impossible bedroom density; 
 dijual rumah mewah di lippo karawaci dengan arsitektur klasik & taman," karawaci, tangerang",rp 60m,6.0,1m²,1593m²,Impossible bedroom density; Unrealistically high price for building area; 
jual rumah show unit berikut furnis ," karawaci, tangerang","rp 1,90m",2.0,5m²,84m²,Impossible bedroom density; Unrealistically high price for building area; 
cendana essence tahap1 over kredit 50jt," karawaci, tangerang",rp 50jt,3.0,68m²,74m²,Unrealistically low price for land area; 
dijual cepat rumah taman ubud permata timur lokasi strategis," karawaci, tangerang","rp 1,30m",3.0,1m²,90m²,Impossible bedroom density; Unrealistically high price for building area; 
kosan 8 pintu di perumnas karawaci," karawaci, tangerang",rp 450jt,8.0,80m²,90m²,Impossible bedroom density; 
rumah 1 lantai pinggir jalan raya," karawaci, tangerang",rp 650jt,3.0,0m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual cendana icon lippo ," karawaci, tangerang","rp 1,50m",2.0,55.0m²,9033m²,Unrealistically low price for land area; 
dijual murah perumahan kvaling agratia nusa jaya karawaci tangerang," karawaci, tangerang","rp 765,50jt",2.0,1m²,93m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah di cluster louise gading serpong ," pagedangan, tangerang","rp 4,68m",5.0,3237m²,150m²,Impossible building-to-land ratio; 
dijual rumah di foresta cluster foglio bsd city," pagedangan, tangerang","rp 3,10m",33.0,140m²,144m²,Impossible bedroom density; 
rumah zuma malibu dengan furnish di lokasi ramai gading serpong,"jalan malibu village-decker, cijantra kel., pagedangan, tangerang kabupaten, 15854, indonesia pagedangan, tangerang","rp 1,80m",2.0,74m²,1m²,Impossible building-to-land ratio; 
dijual rumah assana vanya park bsd 2kt semi furnished ," pagedangan, tangerang","rp 1,35m",2.0,4m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
cluster the blizfield bsd city,"pjcj+499, lengkong kulon, pagedangan, tangerang regency, banten 15331 pagedangan, tangerang",rp 9m,45.0,248m²,241m²,Impossible bedroom density; 
"rumah siap huni, full furnish at alesha house vanya park bsd"," pagedangan, tangerang","rp 1,30m",4.0,30m²,90m²,Impossible bedroom density; 
"jual cepat rumah brand new siap huni di bsd, nego sampai deal","bsd pagedangan, tangerang","rp 3,80m",4.0,1m²,98m²,Impossible bedroom density; Unrealistically high price for building area; 
"dijual rumah mewah the avani bsd city, terdapat kolam renang, brand new"," cisauk, tangerang","rp 6,25m",4.0,3000m²,234m²,Impossible building-to-land ratio; 
jual rugi rumah depan taman semi furnished siap huni di golden park 2 ,"golden park 2 - tangerang cisauk, tangerang",rp 1.000jt,4.0,70m²,90m²,Unrealistically low price for land area; 
naira residence lake view dekat stasiun dan intermoda," cisauk, tangerang",rp 898jt,3.0,5m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah di citra garden serpong cluster elaia ," cisauk, tangerang","rp 1,80m",34.0,111m²,96m²,Impossible bedroom density; 
rumah dijual samping jalan,"jalan raya batok desa babakan dekat stasiun cilejit  cisauk, tangerang",rp 185jt,2.0,36m²,1647m²,Unrealistically low price for land area; 
rumah american classic di gading serpong," tangerang, tangerang","rp 3,70m",5.0,190m²,2m²,Impossible building-to-land ratio; 
"dijual kost baru 33 kamar full furnished, dekat tangcity mall"," tangerang, tangerang","rp 8,90m",33.0,287m²,224m²,Impossible bedroom density; 
rumah kost kosan 4lantai luas 224m tangerang banten," tangerang, tangerang","rp 8,90m",33.0,8587m²,224m²,Impossible building-to-land ratio; 
puri jaya rumah nyaman banyak promo,"jl. raya  puri jaya pasar kemis tangerang tangerang, tangerang",rp 500jt,2.0,46m²,60500m²,Unrealistically low price for land area; 
"rumah modern waterfront residence, type cedar","modernland bavaria, babakan kel., tangerang, tangerang kota, 15118, indonesia tangerang, tangerang","rp 3,06m",3.0,3110m²,105m²,Impossible building-to-land ratio; 
dijual rumah renovasi baru – komplek nusaloka bsd city," tangerang, tangerang","rp 1,45m",2.0,980m²,72m²,Impossible building-to-land ratio; 
rumah american classic di lippo village harga 4 miliaran,"lippo village tangerang, tangerang","rp 4,30m",5.0,190m²,2m²,Impossible building-to-land ratio; 
jual apartemen murah furnished di apartemen sky house bsd tangerang,"jalan bsd raya utama, tangerang kabupaten, indonesia tangerang, tangerang",rp 750jt,1.0,2974m²,2974m²,Unrealistically low price for land area; 
186. dijual rumah siap huni + 1 kontrakan 12 pintu di ulujami jaksel,"jalan perdatam i rt 007 rw 005 # 2 ulujami, rt.9/rw.5, ulujami, jakarta selatan, dki jakarta, daerah khusus ibukota jakarta 12250 cipulir, jakarta selatan",rp 6m,14.0,1m²,900m²,Impossible bedroom density; Unrealistically high price for building area; 
"kemang timur, dijual rumah mewah turun harga, bebas banjir"," kemang, jakarta selatan",rp 46m,4.0,180m²,318m²,Unrealistically high price for building area; 
rumah kost mampang bangka 28 kamar 4 lantai," mampang prapatan, jakarta selatan",rp 6m,5.0,1m²,107m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah pancoran 531mtr posisi bagus bisa beli sebagian," pancoran, jakarta selatan",rp 10m,1.0,1m²,531m²,Impossible bedroom density; Unrealistically high price for building area; 
jual cepat 2 rumah 400mtr tebet gudang peluru," tebet, jakarta selatan","rp 8,10m",1.0,1m²,400m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah kost produktif setiabudi pm guntur akses motor 2 lantai," setiabudi, jakarta selatan","rp 2,80m",7.0,100m²,1m²,Impossible building-to-land ratio; 
rumah 749mtr gudang peluru raya tebet jual cepat hitung tanah," tebet, jakarta selatan",rp 20m,1.0,1m²,749m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah kost 20kt luas 192mtr setiabudi jaksel rasuna," setiabudi, jakarta selatan",rp 7m,20.0,1m²,192m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah dijual di jagakarsa dalam cluster akses 2 mobil strategis,"jl jagakarsa jagakarsa, jakarta selatan","rp 2,35m",4.0,8200m²,83m²,Impossible building-to-land ratio; 
rumah daerah jakarta selatan dekat polda,"jalan profesor doktor satrio, setiabudi, south jakarta, jakarta kuningan, jakarta selatan",rp 15jt,4.0,50m²,100m²,Unrealistically low price for land area; 
rumah di cipete cilandak jakarta selatan," cipete, jakarta selatan",rp 19m,4.0,500m²,3m²,Impossible building-to-land ratio; 
kost tebet barat dalam 22+1kt dekat gelael tis square," tebet, jakarta selatan","rp 6,90m",22.0,1m²,180m²,Impossible bedroom density; Unrealistically high price for building area; 
jual cepat rumah 236mtr tebet gudang peluru," tebet, jakarta selatan",rp 5m,1.0,1m²,236m²,Impossible bedroom density; Unrealistically high price for building area; 
one n only  rumah 1 lantai best area," kebayoran baru, jakarta selatan",rp 24m,3.0,90m²,200m²,Unrealistically high price for building area; 
rumah kebayoran baru. lt.626/lb.350. 5br. 4bath. shm. harga 70m,"jl. senjaya, kebayoran baru kebayoran baru, jakarta selatan",rp 70m,5.0,350m²,626m²,Unrealistically high price for building area; 
rumah widya chandra. lt.1715/lb.500. shm. harga 172m.," senayan, jakarta selatan",rp 172m,6.0,500m²,1715m²,Unrealistically high price for building area; 
dijual rumah mewah pondok pinang 3 bedroom2 550m2 harga nego," pondok pinang, jakarta selatan","rp 22,50m",3.0,5m²,550m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah jl. niaga hijau pondok pinang 3 kamar tidur ukr 500m2 harga nego," pondok indah, jakarta selatan","rp 22,50m",3.0,5m²,550m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah kebayoran baru. lt.650/lb.600. 5br. 6bath. harga 97m," kebayoran baru, jakarta selatan",rp 97m,5.0,600m²,650m²,Unrealistically high price for building area; 
dijual rumah jl. martimbang kebayoran baru ukr 865 harga nego,"jl. martimbang kebayoran baru, jakarta selatan",rp 47m,2.0,4m²,865m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual murah rumah mewah di pondok indah jakarta selatan ," pondok indah, jakarta selatan",rp 13m,6.0,4000m²,227m²,Impossible building-to-land ratio; 
lebak bulus cirendeu luas 225 belakang villa cinere mas," lebak bulus, jakarta selatan",rp 2m,3.0,306m²,3m²,Impossible building-to-land ratio; 
dijual rumah mewah di selong/senopati/kebayoran baru jakarta std076," selong, jakarta selatan",rp 159m,6.0,670m²,1220m²,Unrealistically high price for building area; 
rumah tua di jl metro pondok indah jakarta selatan ,"jl metro pondok indah pondok indah, jakarta selatan","rp 41,90m",3.0,200m²,983m²,Unrealistically high price for building area; 
properti pilihan- rumah baru gaya eropa at kelapa dua depok ,"jln. akses ui kelapa dua depok  jagakarsa, jakarta selatan",rp 937jt,3.0,1m²,72m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah 3 lantai di daan mogot baru cluster jimbaran strategis ," daan mogot, jakarta barat","rp 6,50m",6.0,13m²,480m²,Impossible bedroom density; Unrealistically high price for building area; 
"dijual rumah green mansion 2,5 lt hunian aman dan nyaman di lokasi top"," cengkareng, jakarta barat","rp 5,10m",4.0,14m²,157m²,Impossible bedroom density; Unrealistically high price for building area; 
kost tawakal tomang 60kt mahasiswa karyawan trisakti untar roi tinggi," tomang, jakarta barat",rp 14m,64.0,272m²,216m²,Impossible bedroom density; 
dijual cepat rumah di  jl. pepaya ,"jl. pepaya, no. 2abc, kecamatan cengkareng tim., kota jakarta, daerah khusus ibukota jakarta 11730 cengkareng timur, jakarta barat","rp 1,65m",3.0,128m²,60175m²,Unrealistically low price for land area; 
"rumah kost baru 30 kamar penuh dkt binus kemanggisan, kebon jeruk","kemanggisan kemanggisan, jakarta barat",rp 9m,30.0,250m²,144m²,Impossible bedroom density; 
jual kost2an kebon jeruk jakarta barat," kebon jeruk, jakarta barat","rp 2,80m",10.0,100m²,156m²,Impossible bedroom density; 
kost2an aktif 56 kamar grogol rapi passive income jakbar," grogol, jakarta barat","rp 12,50m",56.0,550m²,387m²,Impossible bedroom density; 
jual murah cepat rumah di slipi grogol petamburan jakarta barat,"jl. k.s tubun ii  slipi petamburan jakarta barat slipi, jakarta barat",rp 15m,4.0,11m²,752m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah lama - hitung tanah uk 776m2 jakarta barat ," glodok, jakarta barat","rp 6,50m",2.0,0m²,776m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah' dijual di matraman jakarta timur ," matraman, jakarta timur",rp 880jt,2.0,58m²,3000m²,Unrealistically low price for land area; 
turun harga rumah fully furnished dalam townhouse di bambu apus jakart," bambu apus, jakarta timur","rp 2,35",3.0,90m²,100m²,Unrealistically low price for land area; 
rumah tua hit tanah! harga miring tanah luas strategis duren sawit jakarta timur," duren sawit, jakarta timur","rp 9,50jt",1.0,200m²,452m²,Unrealistically low price for land area; 
rumah hitung tanah rawamangun dekat rs persahabatan," rawamangun, jakarta timur","rp 3,30m",1.0,1m²,196m²,Impossible bedroom density; Unrealistically high price for building area; 
2 rumah posisi hoek 217mtr jatinegara baru dekat klender buaran," jatinegara, jakarta timur","rp 2,90m",7.0,1m²,217m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah cipinang jaya 372mtr jual cepat," cipinang, jakarta timur","rp 7,50m",6.0,40m²,372m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah perumnas klender akses motor dekat pondok kopi buaran," duren sawit, jakarta timur",rp 750jt,3.0,1m²,80m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah jakarta timur  4kt 3km 2 lantai harga 1m 500 juta bisa kpr," pasar rebo, jakarta timur","rp 1,25m",43.0,80m²,62m²,Impossible bedroom density; 
rumah tua menteng. lt.870/lb.500. 4br. harga 80m," menteng, jakarta pusat",rp 80m,4.0,500m²,870m²,Unrealistically high price for building area; 
eksklusif! townhouse cosmo park thamrin hunian modern di atas mall,"tanah abang tanah abang, jakarta pusat","rp 3,90m",3.0,6m²,270m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah luas ada taman depan & belakang di menteng," menteng, jakarta pusat",rp 85m,5.0,550m²,980m²,Unrealistically high price for building area; 
dijual rumah model kolonial di area menteng jakarta pusat std367," menteng, jakarta pusat",rp 65m,4.0,318m²,575m²,Unrealistically high price for building area; 
rumah minimalis baru carport 700jutaan di rawa selatan johar baru ,"jalan rawa selatan  johar baru, jakarta pusat",rp 840jt,32.0,73m²,25m²,Impossible bedroom density; 
dijual rumah bagus strategis harga menarik di menteng jakpus,"kec. menteng, kota jakarta pusat, daerah khusus ibukota jakarta 10310, indonesia menteng, jakarta pusat",rp 85m,5.0,488m²,980m²,Unrealistically high price for building area; 
rumah cantik 2 lantai sertipikat sudah shm," kemayoran, jakarta pusat",rp 600jt,60.0,60m²,60m²,Impossible bedroom density; 
"rumah baru dijual murah di rawasari, jakarta pusat ","jalan rawasari timur cempaka putih, jakarta pusat",rp 976jt,23.0,56m²,33m²,Impossible bedroom density; 
dijual rumah klasik tanah luas di menteng jakpus,"kec. menteng, kota jakarta pusat, daerah khusus ibukota jakarta 10310, indonesia menteng, jakarta pusat",rp 85m,5.0,488m²,980m²,Unrealistically high price for building area; 
"jarang ada!dijual rumah di jl banyuwangi,menteng,jakpus lt885m2 lb400m"," menteng, jakarta pusat",rp 93m,5.0,400m²,885m²,Unrealistically high price for building area; 
"rumah prime area ring 1 jl. teuku umar, menteng, jakarta pusat","jl. teuku umar menteng, jakarta pusat",rp 325m,10.0,1724m²,2629m²,Unrealistically high price for building area; 
rumah tua area gunung sahari jakpus zona komersial," gunung sahari, jakarta pusat","rp 7,90m",1.0,1m²,1m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah mewah komplek elit di menteng jakarta pusat," menteng, jakarta pusat",rp 35m,1.0,200m²,1200m²,Unrealistically high price for building area; 
segera hadir properti humaira di percetakan negara ," johar baru, jakarta pusat",rp 430jt,2.0,462m²,23m²,Impossible building-to-land ratio; 
menteng jakarta pusat rumah american classic bagus menteng," menteng, jakarta pusat",rp 125m,4.0,800.0m²,1046m²,Unrealistically high price for building area; 
dijual rumah asri tanah luas di menteng jakarta pusat," menteng, jakarta pusat",rp 95m,7.0,400m²,723m²,Unrealistically high price for building area; 
dijual rumah besar galur di jakarta pusat,"letjen suprapto  jakarta pusat kecamatan johar baru, daerah khusus ibukota jakarta johar baru, jakarta pusat",rp 49m,6.0,114030m²,1667m²,Impossible building-to-land ratio; 
dijual cepat rumah diwasan elite menteng," menteng, jakarta pusat",rp 63m,3.0,300m²,629m²,Unrealistically high price for building area; 
dijual cepat rumah lama dikawasan elite sederet rumah dinas wapres ," menteng, jakarta pusat",rp 63m,3.0,300m²,629m²,Unrealistically high price for building area; 
"rumah tua di menteng jakpus, luas 600 meter-an lingkungan aman ten"," menteng, jakarta pusat",rp 63m,3.0,300m²,629m²,Unrealistically high price for building area; 
cempaka putih timur bebas banjir! akses 2 mobil jual murah & cepat 325,"jalan cempaka putih timur, cempaka putih timur kel., cempaka putih, jakarta pusat, 10510, indonesia cempaka putih, jakarta pusat","rp 4,40m",239.0,239m²,5m²,Impossible bedroom density; Impossible building-to-land ratio; 
rumah cantik nan mewah 2 lantai di menteng jakarta pusat," menteng, jakarta pusat",rp 150m,5.0,800m²,1046m²,Unrealistically high price for building area; 
"rumah 2 lantai bagus di kramat, jakarta pusat"," kramat, jakarta pusat","rp 2,80m",10.0,80m²,148m²,Impossible bedroom density; 
rumah 710m2 2lt jl ki mangunsarkoro menteng jakpus asri carpark n1074," menteng, jakarta pusat",rp 77m,4.0,7383m²,710m²,Impossible building-to-land ratio; 
hidden gem rumah asri di pusat menteng / hitung tanah,"jl. banyumas , menteng, kecamatan menteng, daerah khusus ibukota jakarta menteng, jakarta pusat",rp 75m,4.0,400m²,870m²,Unrealistically high price for building area; 
"punya rumah kos di jakarta pusat? mulai 800 jutaan, cashback 50 juta "," paseban, jakarta pusat",rp 800jt,10.0,80m²,40m²,Impossible bedroom density; 
rumah luas hook asri dijual ditengah kota jakarta area menteng,"jl. cikini raya, cikini, kec. menteng, jakarta, daerah khusus ibukota jakarta 10330, indonesia menteng, jakarta pusat",rp 68m,5.0,450m²,805m²,Unrealistically high price for building area; 
dijual cepat rumah di kramat jakarta pusat," kramat, jakarta pusat","rp 2,80m",10.0,80m²,148m²,Impossible bedroom density; 
rumah mewah menteng dekat hos cokroaminoto furnished davinci 2 lantai ,"jalan hos cokroaminoto, menteng, jakarta pusat, indonesia menteng, jakarta pusat",rp 150m,5.0,920m²,1100m²,Unrealistically high price for building area; 
"pejompongan raya, rumah tua, kokoh, terawat","jalan pejompongan raya, jakarta pusat 10270, indonesia bendungan hilir, jakarta pusat",rp 40m,7.0,7600m²,700m²,Impossible building-to-land ratio; 
"rumah kost2an 18 kamar, bungur besar, kemayoran","kemayoran kemayoran, jakarta pusat",rp 4m,18.0,174m²,215m²,Impossible bedroom density; 
rumah mewah sunter paradise ," sunter, jakarta utara",rp 9m,67.0,500m²,300m²,Impossible bedroom density; 
di jual rumah di kelapa gading," kelapa gading, jakarta utara","rp 2,84m",1.0,1m²,162m²,Impossible bedroom density; Unrealistically high price for building area; 
"jual cepat, rumah mewah ada pool dan lift siap huni di sunter agung "," sunter agung, jakarta utara","rp 10,50m",3.0,1m²,240m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual butuh rumah muara karang molek luas 120m2 penjaringan jakut," pluit, jakarta utara","rp 3,70m",5.0,9m²,120m²,Impossible bedroom density; Unrealistically high price for building area; 
